exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
B101-20180122_162506_proc,A6140L264,NGM,B101,20180122,162506,-0.208435176115682,-3.75692618308459,-2.14906373283898,-1.12577492345956,-4.85828485181325,-0.896453242694777,ok,24.7,46,803,4.67239383168911,264,A6140,D
B101-20180122_164546_proc,A6140L326,NGM,B101,20180122,164546,-0.482514463343606,-2.26728689156454,-2.5458390554069,-1.42003173347165,-3.83079391339056,-1.61964764526253,ok,24.8,45,804,4.94425089737132,326,A6140,D
B101-20180122_170707_proc,A6140L351,NGM,B101,20180122,170707,-0.548738723926662,-2.24226693867239,-2.65541244169888,-1.49925884043974,-3.87990631177682,-1.65213356391619,ok,24.8,45,805,4.93828326250638,351,A6140,D
B101-20180122_172809_proc,A6140L218,NGM,B101,20180122,172809,-0.640780734880557,-2.18108506793783,-2.5007408838209,-0.991933416065992,-3.86285042006457,-1.82761638994197,ok,24.8,44,806,4.8450916940694,218,A6140,D
B102-20180126_094104_proc,A6140L264,NGM,B102,20180126,94104,-0.276831022253356,-2.67938340662722,-2.45789580664666,-1.79576327903334,-3.82308551522582,-0.784225873614833,ok,24,36,807,4.79547775707294,264,A6140,D
B102-20180126_100207_proc,A6140L244,NGM,B102,20180126,100207,-0.222317788933316,-3.05815431488788,-2.45903565907045,-1.54093411895838,-3.79553102148309,-0.872312043018819,ok,23.8,36,808,4.75038485681428,244,A6140,D
B102-20180126_102416_proc,CA3100L32,NGM,B102,20180126,102416,-0.466043638653672,-2.5803480020378,-2.57025529879924,-1.05433761688711,-4.03100518797077,-1.33204387086093,ok,23.7,35,809,4.97592085444179,32,CA3100,D
B102-20180126_104537_proc,CA3100L35,NGM,B102,20180126,104537,-0.261657223572456,-2.80132068718637,-2.78541306564662,-1.81024953681574,-4.00755741875823,-0.929936474741188,ok,23.6,34,810,4.6877853535508,35,CA3100,D
B102-20180126_110639_proc,A6140L218,NGM,B102,20180126,110639,-0.340031246241898,-2.89979920133257,-2.64932057128864,-1.51527043747882,-4.24430863118726,-0.910849743423214,ok,23.5,35,811,4.63352381229653,218,A6140,D
B102-20180126_112743_proc,CA3100L36,NGM,B102,20180126,112743,-0.347744946867361,-3.34919922941244,-2.74262148111134,-1.80446437751426,-4.28147277771957,-0.996378246080035,ok,23.6,35,812,4.73283660950057,36,CA3100,D
B102-20180126_114844_proc,CA3100L39,NGM,B102,20180126,114844,-0.600487647577803,-1.59868062181027,-2.54977396137764,-1.3104556178566,-3.34083843272054,-1.57032489636488,ok,23.8,36,813,4.71140441278066,39,CA3100,D
B102-20180126_121506_proc,A6140L236,NGM,B102,20180126,121506,-0.573452766213706,-0.539670373415876,-1.62471780948562,-0.469962571092555,-3.03348998796197,-1.71375141771343,ok,24,36,814,4.38672112789916,236,A6140,D
B102-20180126_123548_proc,CA3100L29,NGM,B102,20180126,123548,-0.629256446884167,-2.26313254727932,-2.33104694582493,-1.42321155823856,-3.33802835920815,-1.61366805798471,ok,24.2,37,815,4.66063477597213,29,CA3100,D
