Line	Reads	Reads_after_fastp	Reads_final	Coverage
GA450L34	5964422	5651662	4884194	7.68128
GA450L36	6743006	6421880	4472811	7.05438
GA450L37	6256926	5958016	5046859	7.91001
GA450L38	7544944	7200276	6282754	9.76417
GA450L39	6523692	6207334	4219394	6.69515
GA450L3	5591426	5049826	3238942	3.65235
GA450L40	4867912	4601882	3577710	5.79951
GA450L41	4847254	4599716	2994873	4.86191
GA450L42	6117336	5805496	4584237	7.21812
GA450L4	1997514	1982390	1671151	2.64844
GA450L5	4076600	3679250	3188431	3.56056
GA450L6	14163368	11891664	6492492	7.1145
GA450L7	4915616	4265422	1194034	1.91796
GA450L8	7253186	6701466	5457043	5.76316
GA450L9	4289562	3908174	3435844	3.79186
GM150L10	2748792	2549544	2097653	2.64576
GM150L11	3115662	2876800	2320739	2.876
GM150L12	3240108	2954002	2518961	3.01868
GM150L13	4190240	3935066	3508391	3.89711
GM150L14	3328946	3106552	2691200	3.16431
GM150L15	3657166	3408892	2932087	3.33825
GM150L16	9650810	8796882	7372415	7.73105
GM150L17	4126672	3947590	3560377	3.95083
GM150L18	5384204	5166066	4458259	4.68999
GM150L19	5015426	4514454	3898326	4.27045
GM150L1	3901596	3693716	3243248	3.68096
GM150L20	3590464	3364076	2929672	3.40907
GM150L21	3304498	3094146	2658247	3.1934
GM150L22	3566186	3357962	2981372	3.43181
GM150L23	6823604	6629522	5993424	6.05535
GM150L24	4944110	4740668	4025301	4.41375
GM150L25	3442	1500	1183	1.0774
GM150L26	3559162	3298022	2553360	2.99738
GM150L27	5967314	5767426	4969286	5.15251
GM150L28	4312318	4032340	3573057	3.95201
GM150L29	4964920	4532060	3960547	4.32836
GM150L2	3870376	3548028	2831305	3.33999
GM150L30	4685420	4227808	3639843	4.04485
GM150L31	3800138	3526018	3135794	3.52378
GM150L32	4618008	4340064	3803916	4.09538
GM150L33	4682038	4395714	3931759	4.25557
GM150L34	5219742	4986214	4490319	4.74105
GM150L35	2735428	2549902	2295140	2.78545
GM150L36	569838	535738	229934	2.42647
GM150L37	827656	778530	307290	2.77042
GM150L38	7185632	6907986	4637286	4.68233
GM150L39	3927886	3671152	2901120	3.34201
GM150L3	6093352	5792332	4328153	4.49149
GM150L40	4272772	4047298	3395331	3.66461
GM150L41	2494824	2271570	1873821	2.48257
GM150L42	3708012	3424660	2888451	3.32617
GM150L43	3525424	3119030	2219842	2.77796
GM150L44	2953272	2689710	2275960	2.74324
GM150L45	3226080	2939326	2403106	2.92287
GM150L46	2031120	1869696	1549003	2.23641
GM150L47	4430050	4175092	3517912	3.90338
GM150L48	3905430	3655768	2977388	3.46326
GM150L49	3678072	3514846	3110597	3.52558
GM150L4	2266632	2087490	1446821	2.12701
GM150L50	3016494	2829580	2393809	2.90655
GM150L5	3112550	2883976	2465464	2.94467
GM150L6	4870802	4600268	3710931	4.02433
GM150L7	3332960	3086264	2405706	2.92689
GM150L8	3175730	2916828	2326296	2.94499
GM150L9	4189786	3944640	3266332	3.72144
GM350L10	3858664	3483740	2205229	2.72256
GM350L11	9624398	9120880	8020036	8.29249
GM350L12	3849714	3633324	3259386	3.7384
GM350L13	4143216	3893262	3425557	3.95124
GM350L14	4280304	4004586	3583752	3.91397
GM350L15	5602076	5323810	4501264	4.78093
GM350L16	4557678	4180654	3476032	3.8986
